id;name;is_completed;planned_due_date;actual_due_date;comment;priority
1;Automotive;false;2022-09-07T19:06:31;2022-09-08T03:24:01;Chief Colombia;MEDIUM
2;user;true;2022-09-08T08:03:13;2022-09-08T10:34:38;Guyana Ameliorated;MEDIUM
3;Communications Grocery needs-based;true;2022-09-08T07:13:38;2022-09-07T21:55:42;front-end Illinois;HIGH
4;Buckinghamshire Reduced demand-driven;false;2022-09-07T21:03:51;2022-09-08T07:18:43;Rubber;MEDIUM
5;withdrawal;false;2022-09-08T02:16:34;2022-09-08T05:24:33;Rubber;LOW
6;copy Branding;true;2022-09-08T09:56:15;2022-09-08T10:26:30;Metal Liaison Technician;HIGH
7;Virginia alarm;true;2022-09-07T14:46:15;2022-09-08T06:12:49;calculate Assistant;MEDIUM
8;Carolina;false;2022-09-08T09:57:49;2022-09-07T11:15:14;overriding;HIGH
9;pink;false;2022-09-07T21:26:04;2022-09-08T02:17:04;blue;MEDIUM
10;Surinam virtual visionary;false;2022-09-07T11:23:29;2022-09-07T13:37:05;Account;MEDIUM
